step_idx	elapsed_s	status	reverse_active	path_reverse_active	stuck_detection_armed	planner_rebuilt	replan_attempted	raw_path_points	follow_path_points	active_path_points	raw_rover_x	raw_rover_y	raw_rover_z	raw_heading_deg	rover_x_cm	rover_y_cm	rover_z_cm	rover_heading_deg	raw_pose_delta	pose_delta_cm	telemetry_throttle	telemetry_steering	telemetry_speed	telemetry_brakes	telemetry_distance_traveled	distance_traveled_delta	moved_since_anchor_cm	stationary_elapsed_s	goal_x_cm	goal_y_cm	goal_dist_cm	target_x_cm	target_y_cm	rover_cell_x	rover_cell_y	target_cell_x	target_cell_y	waypoint_idx	waypoint_distance_cm	waypoint_distance_avg_cm	path_heading_error_deg	throttle_cmd	steering_cmd	new_lidar_obstacles	stuck_obstacles_added	obstacle_total
0	0.000	Running	0	0	0	0	0	0	649	649	-5664.000	-10080.101	1440.400	179.800	300.000	1179.980	39.996	-89.800	0.000	0.000	0.000	0.000	0.000	1	705.300	0.000	0.000	0.000	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-45.200	18.000	-1.000	0	0	0
1	0.357	Running	0	0	0	0	0	0	649	649	-5664.000	-10080.101	1440.400	179.800	300.000	1179.980	39.996	-89.800	0.000	0.000	18.000	1.000	0.000	0	705.300	0.000	0.000	0.357	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-45.200	18.000	-1.000	0	0	0
2	0.680	Running	0	0	0	0	0	0	649	649	-5664.000	-10080.101	1440.400	179.800	300.000	1179.980	39.996	-89.800	0.000	0.000	18.000	1.000	0.000	0	705.300	0.000	0.000	0.680	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-45.200	18.000	-1.000	0	0	0
3	0.958	Running	0	0	0	0	0	0	649	649	-5664.000	-10080.101	1440.400	179.800	300.000	1179.980	39.996	-89.800	0.000	0.000	18.000	1.000	0.000	0	705.300	0.000	0.000	0.958	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-45.200	18.000	-1.000	0	0	0
4	1.232	Running	0	0	1	0	0	0	649	649	-5664.000	-10080.101	1440.400	179.900	300.000	1179.980	39.996	-89.900	0.000	0.000	18.000	1.000	0.200	0	705.300	0.000	0.000	0.000	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-45.100	18.000	-1.000	0	0	0
5	1.503	Running	0	0	1	0	0	0	649	649	-5664.000	-10080.101	1440.400	179.900	300.000	1179.980	39.996	-89.900	0.000	0.000	18.000	1.000	0.200	0	705.300	0.000	0.000	0.000	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-45.100	18.000	-1.000	0	0	0
6	1.772	Running	0	0	1	0	0	0	649	649	-5664.000	-10080.101	1440.400	179.900	300.000	1179.980	39.996	-89.900	0.000	0.000	18.000	1.000	0.200	0	705.300	0.000	0.000	0.000	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-45.100	18.000	-1.000	0	0	0
7	2.044	Running	0	0	1	0	0	0	649	649	-5664.000	-10080.101	1440.400	179.900	300.000	1179.980	39.996	-89.900	0.000	0.000	18.000	1.000	0.200	0	705.300	0.000	0.000	0.000	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-45.100	18.000	-1.000	0	0	0
8	2.315	Running	0	0	1	0	0	0	649	649	-5664.000	-10080.101	1440.400	180.400	300.000	1179.980	39.996	-90.400	0.000	0.000	18.000	1.000	0.400	0	705.300	0.000	0.000	0.000	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-44.600	18.000	-1.000	0	0	0
9	2.586	Running	0	0	1	0	0	0	649	649	-5664.000	-10080.101	1440.400	180.400	300.000	1179.980	39.996	-90.400	0.000	0.000	18.000	1.000	0.400	0	705.300	0.000	0.000	0.000	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-44.600	18.000	-1.000	0	0	0
