sample_idx,sensor_idx,distance_cm,x_cm,y_cm,z_cm,pose_x_cm,pose_y_cm,pose_z_cm,heading_deg
8,7,408.660004,2079.351074,-73.908287,-119.768654,1669.970703,-539.941528,20.001301,-37.599998
8,8,400.260010,1328.789551,-1048.532471,-116.895683,1669.970703,-539.941528,20.001301,-37.599998
8,9,698.190002,1514.441528,487.060730,20.001301,1669.970703,-539.941528,20.001301,-37.599998
8,10,256.440002,1262.074829,-124.846260,20.001301,1669.970703,-539.941528,20.001301,-37.599998
8,11,251.089996,1186.994751,-231.108200,20.001301,1669.970703,-539.941528,20.001301,-37.599998
8,12,651.469971,717.548706,-606.383301,20.001301,1669.970703,-539.941528,20.001301,-37.599998
9,1,588.130005,2500.017334,-845.925110,-181.151001,1669.970703,-539.941528,20.001301,-37.599998
9,3,553.270020,2160.282227,-1236.629639,-169.228195,1669.970703,-539.941528,20.001301,-37.599998
9,5,454.149994,2299.331787,-929.952515,-171.930786,1669.970703,-539.941528,20.001301,-37.599998
9,6,449.559998,2204.514160,-1046.257812,-169.990967,1669.970703,-539.941528,20.001301,-37.599998
9,7,408.660004,2079.351074,-73.908287,-119.768654,1669.970703,-539.941528,20.001301,-37.599998
9,8,400.260010,1328.789551,-1048.532471,-116.895683,1669.970703,-539.941528,20.001301,-37.599998
9,9,698.190002,1514.441528,487.060730,20.001301,1669.970703,-539.941528,20.001301,-37.599998
9,10,256.440002,1262.074829,-124.846260,20.001301,1669.970703,-539.941528,20.001301,-37.599998
9,11,251.089996,1186.994751,-231.108200,20.001301,1669.970703,-539.941528,20.001301,-37.599998
9,12,651.469971,717.548706,-606.383301,20.001301,1669.970703,-539.941528,20.001301,-37.599998
10,1,588.130005,2500.017334,-845.925110,-181.151001,1669.970703,-539.941528,20.001301,-37.599998
10,3,553.270020,2160.282227,-1236.629639,-169.228195,1669.970703,-539.941528,20.001301,-37.599998
10,5,454.149994,2299.331787,-929.952515,-171.930786,1669.970703,-539.941528,20.001301,-37.599998
10,6,449.559998,2204.514160,-1046.257812,-169.990967,1669.970703,-539.941528,20.001301,-37.599998
