step_idx	elapsed_s	status	reverse_active	path_reverse_active	stuck_detection_armed	planner_rebuilt	replan_attempted	raw_path_points	follow_path_points	active_path_points	raw_rover_x	raw_rover_y	raw_rover_z	raw_heading_deg	rover_x_cm	rover_y_cm	rover_z_cm	rover_heading_deg	raw_pose_delta	pose_delta_cm	telemetry_throttle	telemetry_steering	telemetry_speed	telemetry_brakes	telemetry_distance_traveled	distance_traveled_delta	moved_since_anchor_cm	stationary_elapsed_s	goal_x_cm	goal_y_cm	goal_dist_cm	target_x_cm	target_y_cm	rover_cell_x	rover_cell_y	target_cell_x	target_cell_y	waypoint_idx	waypoint_distance_cm	waypoint_distance_avg_cm	path_heading_error_deg	throttle_cmd	steering_cmd	new_lidar_obstacles	stuck_obstacles_added	obstacle_total
0	0.000	Running	0	0	0	0	0	0	649	649	-5664.000	-10080.101	1440.400	179.900	300.000	1179.980	39.996	-89.900	0.000	0.000	0.000	0.000	0.000	1	406.700	0.000	0.000	0.000	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-45.100	18.000	-1.000	0	0	0
1	0.475	Running	0	0	0	0	0	0	649	649	-5664.000	-10080.101	1440.400	179.900	300.000	1179.980	39.996	-89.900	0.000	0.000	18.000	1.000	0.000	0	406.700	0.000	0.000	0.475	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-45.100	18.000	-1.000	0	0	0
2	0.760	Running	0	0	0	0	0	0	649	649	-5664.000	-10080.101	1440.400	179.900	300.000	1179.980	39.996	-89.900	0.000	0.000	18.000	1.000	0.000	0	406.700	0.000	0.000	0.760	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-45.100	18.000	-1.000	0	0	0
3	1.032	Running	0	0	0	0	0	0	649	649	-5664.000	-10080.101	1440.400	179.900	300.000	1179.980	39.996	-89.900	0.000	0.000	18.000	1.000	0.000	0	406.700	0.000	0.000	1.032	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-45.100	18.000	-1.000	0	0	0
4	1.309	Running	0	0	0	0	0	0	649	649	-5664.000	-10080.101	1440.500	179.900	300.000	1179.980	49.994	-89.900	0.100	9.998	18.000	1.000	0.000	0	406.800	0.100	0.000	1.309	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-45.100	18.000	-1.000	0	0	0
5	1.582	Running	0	0	0	0	0	0	649	649	-5664.000	-10080.101	1440.500	179.900	300.000	1179.980	49.994	-89.900	0.000	0.000	18.000	1.000	0.000	0	406.800	0.000	0.000	1.582	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-45.100	18.000	-1.000	0	0	0
6	1.853	Running	0	0	0	0	0	0	649	649	-5664.000	-10080.101	1440.500	179.900	300.000	1179.980	49.994	-89.900	0.000	0.000	18.000	1.000	0.000	0	406.800	0.000	0.000	1.853	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-45.100	18.000	-1.000	0	0	0
7	2.123	Running	0	0	0	0	0	0	649	649	-5664.000	-10080.101	1440.500	179.900	300.000	1179.980	49.994	-89.900	0.000	0.000	18.000	1.000	0.100	0	406.800	0.000	0.000	2.123	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-45.100	18.000	-1.000	0	0	0
8	2.400	Running	0	0	0	0	0	0	649	649	-5664.000	-10080.101	1440.500	179.900	300.000	1179.980	49.994	-89.900	0.000	0.000	18.000	1.000	0.100	0	406.800	0.000	0.000	2.400	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-45.100	18.000	-1.000	0	0	0
9	2.682	Running	0	0	0	0	0	0	649	649	-5664.000	-10080.101	1440.500	179.900	300.000	1179.980	49.994	-89.900	0.000	0.000	18.000	1.000	0.100	0	406.800	0.000	0.000	2.682	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-45.100	18.000	-1.000	0	0	0
