step_idx	elapsed_s	sensor_idx	sensor_label	sensor_enabled	raw_cm	raw_is_zero	valid_range_gt0	valid_range_ge0	mask_hit	pitch_scale	planar_hit_cm	hit_world_z_cm	low_clearance_hit	chunk_name	chunk_hit_count	chunk_threshold_met	hit_dist_from_rover_cm	within_local_radius	usable_for_mark	placed	usable_reason	map_origin	sensor_local_x_cm	sensor_local_y_cm	sensor_yaw_deg	sensor_pitch_deg	sensor_world_x_cm	sensor_world_y_cm	sensor_cell_x	sensor_cell_y	hit_world_x_cm	hit_world_y_cm	ray_hit_world_x_cm	ray_hit_world_y_cm	hit_cell_x	hit_cell_y	center_hit_world_x_cm	center_hit_world_y_cm	center_hit_cell_x	center_hit_cell_y	rover_x_cm	rover_y_cm	rover_heading_deg
1	0.386	1	front_left_frame_yaw_p20_pitch_n20	0	519.660	0	1	1	0	0.940	488.321	-137.738	1	front	2	1	nan	0	0	0	sensor_disabled	center	325.000	75.000	20.000	-20.000	375.567	855.112	105	97	nan	nan	543.383	396.533	-1	-1	467.816	721.401	107	94	300.000	1179.980	-89.900
1	0.386	2	front_center_frame_forward	1	-1.000	0	0	0	0	1.000	nan	nan	0	front	2	1	nan	0	0	0	invalid_range	center	325.000	0.000	0.000	0.000	300.567	854.981	104	97	nan	nan	nan	nan	-1	-1	nan	nan	-1	-1	300.000	1179.980	-89.900
1	0.386	3	front_right_frame_yaw_n20_pitch_n20	0	569.670	0	1	1	0	0.940	535.315	-154.842	1	front	2	1	nan	0	0	0	sensor_disabled	center	325.000	-75.000	-20.000	-20.000	225.567	854.850	102	97	nan	nan	43.357	351.500	-1	-1	117.790	676.630	100	93	300.000	1179.980	-89.900
1	0.386	4	front_right_wheel_hub_yaw_n30	1	895.650	0	1	1	0	1.000	895.650	39.996	0	front	2	1	nan	0	0	0	masked_non_contact	center	250.000	-245.000	-30.000	0.000	55.437	929.553	99	98	nan	nan	-391.034	153.117	-1	-1	-146.471	403.544	95	88	300.000	1179.980	-89.900
1	0.386	5	front_left_frame_pitch_n25	0	430.970	0	1	1	0	0.906	390.591	-142.139	1	front	2	1	nan	0	0	0	sensor_disabled	center	325.000	75.000	0.000	-25.000	375.567	855.112	105	97	nan	nan	376.249	464.521	-1	-1	300.682	789.390	104	96	300.000	1179.980	-89.900
1	0.386	6	front_right_frame_pitch_n25	0	442.550	0	1	1	0	0.906	401.087	-147.033	1	front	2	1	nan	0	0	0	sensor_disabled	center	325.000	-75.000	0.000	-25.000	225.567	854.850	102	97	nan	nan	226.267	453.764	-1	-1	300.700	778.895	104	95	300.000	1179.980	-89.900
1	0.386	7	left_mid_frame_left_pitch_n20	0	405.430	0	1	1	0	0.940	380.980	-98.669	1	left	0	0	nan	0	0	0	sensor_disabled	center	40.000	235.000	90.000	-20.000	535.069	1140.391	108	103	nan	nan	916.048	1141.055	-1	-1	680.979	1180.645	111	104	300.000	1179.980	-89.900
1	0.386	8	right_mid_frame_right_pitch_n20	0	405.690	0	1	1	0	0.940	381.224	-98.758	1	right	0	0	nan	0	0	0	sensor_disabled	center	40.000	-235.000	-90.000	-20.000	65.070	1139.570	99	103	nan	nan	-316.153	1138.905	-1	-1	-81.223	1179.315	96	103	300.000	1179.980	-89.900
1	0.386	9	rear_left_wheel_hub_back_yaw_p40	1	642.010	0	1	1	0	1.000	642.010	39.996	0	rear	0	0	nan	0	0	0	masked_non_contact	center	-215.000	270.000	140.000	0.000	569.624	1395.451	109	108	nan	nan	981.442	1887.979	-1	-1	711.817	1672.508	112	113	300.000	1179.980	-89.900
1	0.386	10	rear_left_frame_backward	1	315.230	0	1	1	0	1.000	315.230	39.996	0	rear	0	0	nan	0	0	0	masked_non_contact	center	-320.000	80.000	180.000	0.000	379.441	1500.120	105	110	nan	nan	378.891	1815.349	-1	-1	299.450	1495.210	103	110	300.000	1179.980	-89.900
1	0.386	11	rear_right_frame_backward	1	306.300	0	1	1	0	1.000	306.300	39.996	0	rear	0	0	nan	0	0	0	masked_non_contact	center	-320.000	-50.000	180.000	0.000	249.442	1499.893	102	110	nan	nan	248.907	1806.192	-1	-1	299.465	1486.280	103	110	300.000	1179.980	-89.900
1	0.386	12	rear_right_wheel_hub_back_yaw_n40	1	654.310	0	1	1	0	1.000	654.310	39.996	0	rear	0	0	nan	0	0	0	masked_non_contact	center	-215.000	-215.000	-140.000	0.000	84.625	1394.605	99	108	nan	nan	-336.831	1895.101	-1	-1	-121.456	1680.476	95	114	300.000	1179.980	-89.900
1	0.386	13	front_left_frame_yaw_p20_pitch_n10	1	856.550	0	1	1	0	0.985	843.537	-108.742	1	front	2	1	nan	0	0	0	masked_non_contact	center	325.000	75.000	20.000	-10.000	375.567	855.112	105	97	nan	nan	665.457	62.951	-1	-1	589.890	387.820	109	88	300.000	1179.980	-89.900
1	0.386	14	front_right_frame_yaw_n20_pitch_n10	1	-1.000	0	0	0	0	0.985	nan	nan	0	front	2	1	nan	0	0	0	invalid_range	center	325.000	-75.000	-20.000	-10.000	225.567	854.850	102	97	nan	nan	nan	nan	-1	-1	nan	nan	-1	-1	300.000	1179.980	-89.900
1	0.386	15	front_left_wheel_hub_yaw_p15	1	962.520	0	1	1	1	1.000	962.520	39.996	0	front	2	1	962.520	1	1	0	already_marked	center	250.000	245.000	15.000	0.000	545.436	930.408	108	99	550.741	250.694	796.177	1.122	109	85	550.741	250.694	109	85	300.000	1179.980	-89.900
1	0.386	16	front_right_wheel_hub_yaw_n15	1	-1.000	0	0	0	0	1.000	nan	nan	0	front	2	1	nan	0	0	0	invalid_range	center	250.000	-245.000	-15.000	0.000	55.437	929.553	99	98	nan	nan	nan	nan	-1	-1	nan	nan	-1	-1	300.000	1179.980	-89.900
2	0.676	0	front_left_wheel_hub_yaw_p30	1	0.000	1	0	1	0	1.000	0.000	39.996	0	front	2	1	0.000	1	1	0	inside_rover_bbox	center	250.000	245.000	30.000	0.000	545.436	930.408	108	99	300.000	1179.980	545.436	930.408	104	104	300.000	1179.980	104	104	300.000	1179.980	-89.900
2	0.676	1	front_left_frame_yaw_p20_pitch_n20	0	519.660	0	1	1	0	0.940	488.321	-137.738	1	front	2	1	nan	0	0	0	sensor_disabled	center	325.000	75.000	20.000	-20.000	375.567	855.112	105	97	nan	nan	543.383	396.533	-1	-1	467.816	721.401	107	94	300.000	1179.980	-89.900
2	0.676	2	front_center_frame_forward	1	-1.000	0	0	0	0	1.000	nan	nan	0	front	2	1	nan	0	0	0	invalid_range	center	325.000	0.000	0.000	0.000	300.567	854.981	104	97	nan	nan	nan	nan	-1	-1	nan	nan	-1	-1	300.000	1179.980	-89.900
2	0.676	3	front_right_frame_yaw_n20_pitch_n20	0	569.670	0	1	1	0	0.940	535.315	-154.842	1	front	2	1	nan	0	0	0	sensor_disabled	center	325.000	-75.000	-20.000	-20.000	225.567	854.850	102	97	nan	nan	43.357	351.500	-1	-1	117.790	676.630	100	93	300.000	1179.980	-89.900
2	0.676	4	front_right_wheel_hub_yaw_n30	1	895.650	0	1	1	0	1.000	895.650	39.996	0	front	2	1	nan	0	0	0	masked_non_contact	center	250.000	-245.000	-30.000	0.000	55.437	929.553	99	98	nan	nan	-391.034	153.117	-1	-1	-146.471	403.544	95	88	300.000	1179.980	-89.900
2	0.676	5	front_left_frame_pitch_n25	0	430.970	0	1	1	0	0.906	390.591	-142.139	1	front	2	1	nan	0	0	0	sensor_disabled	center	325.000	75.000	0.000	-25.000	375.567	855.112	105	97	nan	nan	376.249	464.521	-1	-1	300.682	789.390	104	96	300.000	1179.980	-89.900
2	0.676	6	front_right_frame_pitch_n25	0	442.560	0	1	1	0	0.906	401.096	-147.038	1	front	2	1	nan	0	0	0	sensor_disabled	center	325.000	-75.000	0.000	-25.000	225.567	854.850	102	97	nan	nan	226.267	453.755	-1	-1	300.700	778.885	104	95	300.000	1179.980	-89.900
2	0.676	7	left_mid_frame_left_pitch_n20	0	405.430	0	1	1	0	0.940	380.980	-98.669	1	left	0	0	nan	0	0	0	sensor_disabled	center	40.000	235.000	90.000	-20.000	535.069	1140.391	108	103	nan	nan	916.048	1141.055	-1	-1	680.979	1180.645	111	104	300.000	1179.980	-89.900
2	0.676	8	right_mid_frame_right_pitch_n20	0	405.690	0	1	1	0	0.940	381.224	-98.758	1	right	0	0	nan	0	0	0	sensor_disabled	center	40.000	-235.000	-90.000	-20.000	65.070	1139.570	99	103	nan	nan	-316.153	1138.905	-1	-1	-81.223	1179.315	96	103	300.000	1179.980	-89.900
2	0.676	9	rear_left_wheel_hub_back_yaw_p40	1	642.010	0	1	1	0	1.000	642.010	39.996	0	rear	0	0	nan	0	0	0	masked_non_contact	center	-215.000	270.000	140.000	0.000	569.624	1395.451	109	108	nan	nan	981.442	1887.979	-1	-1	711.817	1672.508	112	113	300.000	1179.980	-89.900
2	0.676	10	rear_left_frame_backward	1	315.230	0	1	1	0	1.000	315.230	39.996	0	rear	0	0	nan	0	0	0	masked_non_contact	center	-320.000	80.000	180.000	0.000	379.441	1500.120	105	110	nan	nan	378.891	1815.349	-1	-1	299.450	1495.210	103	110	300.000	1179.980	-89.900
2	0.676	11	rear_right_frame_backward	1	306.300	0	1	1	0	1.000	306.300	39.996	0	rear	0	0	nan	0	0	0	masked_non_contact	center	-320.000	-50.000	180.000	0.000	249.442	1499.893	102	110	nan	nan	248.907	1806.192	-1	-1	299.465	1486.280	103	110	300.000	1179.980	-89.900
2	0.676	12	rear_right_wheel_hub_back_yaw_n40	1	654.310	0	1	1	0	1.000	654.310	39.996	0	rear	0	0	nan	0	0	0	masked_non_contact	center	-215.000	-215.000	-140.000	0.000	84.625	1394.605	99	108	nan	nan	-336.831	1895.101	-1	-1	-121.456	1680.476	95	114	300.000	1179.980	-89.900
2	0.676	13	front_left_frame_yaw_p20_pitch_n10	1	856.540	0	1	1	0	0.985	843.527	-108.740	1	front	2	1	nan	0	0	0	masked_non_contact	center	325.000	75.000	20.000	-10.000	375.567	855.112	105	97	nan	nan	665.453	62.960	-1	-1	589.886	387.829	109	88	300.000	1179.980	-89.900
2	0.676	14	front_right_frame_yaw_n20_pitch_n10	1	-1.000	0	0	0	0	0.985	nan	nan	0	front	2	1	nan	0	0	0	invalid_range	center	325.000	-75.000	-20.000	-10.000	225.567	854.850	102	97	nan	nan	nan	nan	-1	-1	nan	nan	-1	-1	300.000	1179.980	-89.900
2	0.676	15	front_left_wheel_hub_yaw_p15	1	962.520	0	1	1	1	1.000	962.520	39.996	0	front	2	1	962.520	1	1	0	already_marked	center	250.000	245.000	15.000	0.000	545.436	930.408	108	99	550.741	250.694	796.177	1.122	109	85	550.741	250.694	109	85	300.000	1179.980	-89.900
2	0.676	16	front_right_wheel_hub_yaw_n15	1	-1.000	0	0	0	0	1.000	nan	nan	0	front	2	1	nan	0	0	0	invalid_range	center	250.000	-245.000	-15.000	0.000	55.437	929.553	99	98	nan	nan	nan	nan	-1	-1	nan	nan	-1	-1	300.000	1179.980	-89.900
3	0.946	0	front_left_wheel_hub_yaw_p30	1	0.000	1	0	1	0	1.000	0.000	39.996	0	front	2	1	0.000	1	1	0	inside_rover_bbox	center	250.000	245.000	30.000	0.000	545.436	930.408	108	99	300.000	1179.980	545.436	930.408	104	104	300.000	1179.980	104	104	300.000	1179.980	-89.900
3	0.946	1	front_left_frame_yaw_p20_pitch_n20	0	519.660	0	1	1	0	0.940	488.321	-137.738	1	front	2	1	nan	0	0	0	sensor_disabled	center	325.000	75.000	20.000	-20.000	375.567	855.112	105	97	nan	nan	543.383	396.533	-1	-1	467.816	721.401	107	94	300.000	1179.980	-89.900
3	0.946	2	front_center_frame_forward	1	-1.000	0	0	0	0	1.000	nan	nan	0	front	2	1	nan	0	0	0	invalid_range	center	325.000	0.000	0.000	0.000	300.567	854.981	104	97	nan	nan	nan	nan	-1	-1	nan	nan	-1	-1	300.000	1179.980	-89.900
3	0.946	3	front_right_frame_yaw_n20_pitch_n20	0	569.670	0	1	1	0	0.940	535.315	-154.842	1	front	2	1	nan	0	0	0	sensor_disabled	center	325.000	-75.000	-20.000	-20.000	225.567	854.850	102	97	nan	nan	43.357	351.500	-1	-1	117.790	676.630	100	93	300.000	1179.980	-89.900
3	0.946	4	front_right_wheel_hub_yaw_n30	1	895.650	0	1	1	0	1.000	895.650	39.996	0	front	2	1	nan	0	0	0	masked_non_contact	center	250.000	-245.000	-30.000	0.000	55.437	929.553	99	98	nan	nan	-391.034	153.117	-1	-1	-146.471	403.544	95	88	300.000	1179.980	-89.900
3	0.946	5	front_left_frame_pitch_n25	0	430.970	0	1	1	0	0.906	390.591	-142.139	1	front	2	1	nan	0	0	0	sensor_disabled	center	325.000	75.000	0.000	-25.000	375.567	855.112	105	97	nan	nan	376.249	464.521	-1	-1	300.682	789.390	104	96	300.000	1179.980	-89.900
3	0.946	6	front_right_frame_pitch_n25	0	442.560	0	1	1	0	0.906	401.096	-147.038	1	front	2	1	nan	0	0	0	sensor_disabled	center	325.000	-75.000	0.000	-25.000	225.567	854.850	102	97	nan	nan	226.267	453.755	-1	-1	300.700	778.885	104	95	300.000	1179.980	-89.900
3	0.946	7	left_mid_frame_left_pitch_n20	0	405.430	0	1	1	0	0.940	380.980	-98.669	1	left	0	0	nan	0	0	0	sensor_disabled	center	40.000	235.000	90.000	-20.000	535.069	1140.391	108	103	nan	nan	916.048	1141.055	-1	-1	680.979	1180.645	111	104	300.000	1179.980	-89.900
3	0.946	8	right_mid_frame_right_pitch_n20	0	405.690	0	1	1	0	0.940	381.224	-98.758	1	right	0	0	nan	0	0	0	sensor_disabled	center	40.000	-235.000	-90.000	-20.000	65.070	1139.570	99	103	nan	nan	-316.153	1138.905	-1	-1	-81.223	1179.315	96	103	300.000	1179.980	-89.900
3	0.946	9	rear_left_wheel_hub_back_yaw_p40	1	642.010	0	1	1	0	1.000	642.010	39.996	0	rear	0	0	nan	0	0	0	masked_non_contact	center	-215.000	270.000	140.000	0.000	569.624	1395.451	109	108	nan	nan	981.442	1887.979	-1	-1	711.817	1672.508	112	113	300.000	1179.980	-89.900
3	0.946	10	rear_left_frame_backward	1	315.230	0	1	1	0	1.000	315.230	39.996	0	rear	0	0	nan	0	0	0	masked_non_contact	center	-320.000	80.000	180.000	0.000	379.441	1500.120	105	110	nan	nan	378.891	1815.349	-1	-1	299.450	1495.210	103	110	300.000	1179.980	-89.900
3	0.946	11	rear_right_frame_backward	1	306.300	0	1	1	0	1.000	306.300	39.996	0	rear	0	0	nan	0	0	0	masked_non_contact	center	-320.000	-50.000	180.000	0.000	249.442	1499.893	102	110	nan	nan	248.907	1806.192	-1	-1	299.465	1486.280	103	110	300.000	1179.980	-89.900
3	0.946	12	rear_right_wheel_hub_back_yaw_n40	1	654.310	0	1	1	0	1.000	654.310	39.996	0	rear	0	0	nan	0	0	0	masked_non_contact	center	-215.000	-215.000	-140.000	0.000	84.625	1394.605	99	108	nan	nan	-336.831	1895.101	-1	-1	-121.456	1680.476	95	114	300.000	1179.980	-89.900
3	0.946	13	front_left_frame_yaw_p20_pitch_n10	1	856.540	0	1	1	0	0.985	843.527	-108.740	1	front	2	1	nan	0	0	0	masked_non_contact	center	325.000	75.000	20.000	-10.000	375.567	855.112	105	97	nan	nan	665.453	62.960	-1	-1	589.886	387.829	109	88	300.000	1179.980	-89.900
3	0.946	14	front_right_frame_yaw_n20_pitch_n10	1	-1.000	0	0	0	0	0.985	nan	nan	0	front	2	1	nan	0	0	0	invalid_range	center	325.000	-75.000	-20.000	-10.000	225.567	854.850	102	97	nan	nan	nan	nan	-1	-1	nan	nan	-1	-1	300.000	1179.980	-89.900
3	0.946	15	front_left_wheel_hub_yaw_p15	1	962.520	0	1	1	1	1.000	962.520	39.996	0	front	2	1	962.520	1	1	0	already_marked	center	250.000	245.000	15.000	0.000	545.436	930.408	108	99	550.741	250.694	796.177	1.122	109	85	550.741	250.694	109	85	300.000	1179.980	-89.900
3	0.946	16	front_right_wheel_hub_yaw_n15	1	-1.000	0	0	0	0	1.000	nan	nan	0	front	2	1	nan	0	0	0	invalid_range	center	250.000	-245.000	-15.000	0.000	55.437	929.553	99	98	nan	nan	nan	nan	-1	-1	nan	nan	-1	-1	300.000	1179.980	-89.900
4	1.283	0	front_left_wheel_hub_yaw_p30	1	0.000	1	0	1	0	1.000	0.000	39.996	0	front	2	1	0.000	1	1	0	inside_rover_bbox	center	250.000	245.000	30.000	0.000	545.436	930.408	108	99	300.000	1179.980	545.436	930.408	104	104	300.000	1179.980	104	104	300.000	1179.980	-89.900
4	1.283	1	front_left_frame_yaw_p20_pitch_n20	0	519.660	0	1	1	0	0.940	488.321	-137.738	1	front	2	1	nan	0	0	0	sensor_disabled	center	325.000	75.000	20.000	-20.000	375.567	855.112	105	97	nan	nan	543.383	396.533	-1	-1	467.816	721.401	107	94	300.000	1179.980	-89.900
4	1.283	2	front_center_frame_forward	1	-1.000	0	0	0	0	1.000	nan	nan	0	front	2	1	nan	0	0	0	invalid_range	center	325.000	0.000	0.000	0.000	300.567	854.981	104	97	nan	nan	nan	nan	-1	-1	nan	nan	-1	-1	300.000	1179.980	-89.900
4	1.283	3	front_right_frame_yaw_n20_pitch_n20	0	569.670	0	1	1	0	0.940	535.315	-154.842	1	front	2	1	nan	0	0	0	sensor_disabled	center	325.000	-75.000	-20.000	-20.000	225.567	854.850	102	97	nan	nan	43.357	351.500	-1	-1	117.790	676.630	100	93	300.000	1179.980	-89.900
4	1.283	4	front_right_wheel_hub_yaw_n30	1	895.650	0	1	1	0	1.000	895.650	39.996	0	front	2	1	nan	0	0	0	masked_non_contact	center	250.000	-245.000	-30.000	0.000	55.437	929.553	99	98	nan	nan	-391.034	153.117	-1	-1	-146.471	403.544	95	88	300.000	1179.980	-89.900
4	1.283	5	front_left_frame_pitch_n25	0	430.970	0	1	1	0	0.906	390.591	-142.139	1	front	2	1	nan	0	0	0	sensor_disabled	center	325.000	75.000	0.000	-25.000	375.567	855.112	105	97	nan	nan	376.249	464.521	-1	-1	300.682	789.390	104	96	300.000	1179.980	-89.900
4	1.283	6	front_right_frame_pitch_n25	0	442.560	0	1	1	0	0.906	401.096	-147.038	1	front	2	1	nan	0	0	0	sensor_disabled	center	325.000	-75.000	0.000	-25.000	225.567	854.850	102	97	nan	nan	226.267	453.755	-1	-1	300.700	778.885	104	95	300.000	1179.980	-89.900
4	1.283	7	left_mid_frame_left_pitch_n20	0	405.430	0	1	1	0	0.940	380.980	-98.669	1	left	0	0	nan	0	0	0	sensor_disabled	center	40.000	235.000	90.000	-20.000	535.069	1140.391	108	103	nan	nan	916.048	1141.055	-1	-1	680.979	1180.645	111	104	300.000	1179.980	-89.900
4	1.283	8	right_mid_frame_right_pitch_n20	0	405.690	0	1	1	0	0.940	381.224	-98.758	1	right	0	0	nan	0	0	0	sensor_disabled	center	40.000	-235.000	-90.000	-20.000	65.070	1139.570	99	103	nan	nan	-316.153	1138.905	-1	-1	-81.223	1179.315	96	103	300.000	1179.980	-89.900
4	1.283	9	rear_left_wheel_hub_back_yaw_p40	1	642.010	0	1	1	0	1.000	642.010	39.996	0	rear	0	0	nan	0	0	0	masked_non_contact	center	-215.000	270.000	140.000	0.000	569.624	1395.451	109	108	nan	nan	981.442	1887.979	-1	-1	711.817	1672.508	112	113	300.000	1179.980	-89.900
4	1.283	10	rear_left_frame_backward	1	315.230	0	1	1	0	1.000	315.230	39.996	0	rear	0	0	nan	0	0	0	masked_non_contact	center	-320.000	80.000	180.000	0.000	379.441	1500.120	105	110	nan	nan	378.891	1815.349	-1	-1	299.450	1495.210	103	110	300.000	1179.980	-89.900
4	1.283	11	rear_right_frame_backward	1	306.300	0	1	1	0	1.000	306.300	39.996	0	rear	0	0	nan	0	0	0	masked_non_contact	center	-320.000	-50.000	180.000	0.000	249.442	1499.893	102	110	nan	nan	248.907	1806.192	-1	-1	299.465	1486.280	103	110	300.000	1179.980	-89.900
4	1.283	12	rear_right_wheel_hub_back_yaw_n40	1	654.310	0	1	1	0	1.000	654.310	39.996	0	rear	0	0	nan	0	0	0	masked_non_contact	center	-215.000	-215.000	-140.000	0.000	84.625	1394.605	99	108	nan	nan	-336.831	1895.101	-1	-1	-121.456	1680.476	95	114	300.000	1179.980	-89.900
4	1.283	13	front_left_frame_yaw_p20_pitch_n10	1	856.540	0	1	1	0	0.985	843.527	-108.740	1	front	2	1	nan	0	0	0	masked_non_contact	center	325.000	75.000	20.000	-10.000	375.567	855.112	105	97	nan	nan	665.453	62.960	-1	-1	589.886	387.829	109	88	300.000	1179.980	-89.900
4	1.283	14	front_right_frame_yaw_n20_pitch_n10	1	-1.000	0	0	0	0	0.985	nan	nan	0	front	2	1	nan	0	0	0	invalid_range	center	325.000	-75.000	-20.000	-10.000	225.567	854.850	102	97	nan	nan	nan	nan	-1	-1	nan	nan	-1	-1	300.000	1179.980	-89.900
4	1.283	15	front_left_wheel_hub_yaw_p15	1	962.520	0	1	1	1	1.000	962.520	39.996	0	front	2	1	962.520	1	1	0	already_marked	center	250.000	245.000	15.000	0.000	545.436	930.408	108	99	550.741	250.694	796.177	1.122	109	85	550.741	250.694	109	85	300.000	1179.980	-89.900
4	1.283	16	front_right_wheel_hub_yaw_n15	1	-1.000	0	0	0	0	1.000	nan	nan	0	front	2	1	nan	0	0	0	invalid_range	center	250.000	-245.000	-15.000	0.000	55.437	929.553	99	98	nan	nan	nan	nan	-1	-1	nan	nan	-1	-1	300.000	1179.980	-89.900
